film_id,genre,director_name,title,length,rating
45,scifi,Mrs. Terri Bright MD,Security heart goal color total responsibility might into.,2.06,63.07363115913981
46,scifi,Patrick Roberts,Movement tough candidate win fish ten career responsibility.,1.8499999999999999,41.102548968212076
47,romance,Jason Dixon,Heavy act much just leader.,2.11,59.97931625807395
48,scifi,Karen Swanson,Every at mission newspaper phone while mission.,2.8800000000000003,46.80555881711337
49,romance,Luis Garcia,Team business property once break western particular economy.,1.22,45.575055796146856
50,scifi,Javier Garcia,Decide your above production follow argue institution such.,0.29000000000000004,60.62659092876589
51,comedy,James Fernandez,Tell race thus wind fight area dog.,0.65,50.62206202471845
52,romance,Linda Jackson,Issue remain image kitchen fact.,2.5900000000000003,57.86064351860101
53,romance,Claudia Ward,Seek drop price until painting.,2.45,45.70709004573617
54,documentary,Bradley Berger DDS,Number bad building top brother deep grow.,1.16,38.840512728263306
55,romance,Kristina Berger,Quality although true first somebody.,0.6000000000000001,45.406089849103516
56,documentary,Jared Parker,Use star individual eat increase.,2.54,57.15812897770131
57,documentary,Dr. Amy Chavez,Father public treatment teach fear management rise.,0.96,36.315154956247845
58,scifi,David Travis,Recognize source federal send.,3.0300000000000002,54.64732214324457
59,scifi,Steven Lopez,Drive dark agency rise.,0.9099999999999999,59.00771492927576
60,documentary,Sarah Evans,Miss raise sister doctor rule not.,2.73,41.36998080507221
61,comedy,David Bridges,Last brother show.,1.54,41.59287731484372
62,documentary,Dennis Robinson,Include true ask wait run nothing.,0.96,43.31585543829267
63,documentary,Carol Swanson,Care ago development just region federal institution.,1.72,64.23749386781486
64,romance,Erin Sanchez,Wait world major suffer national develop.,2.9000000000000004,35.52496106086543
65,romance,Dennis Arellano,Now people would act today help team think.,1.63,67.67375063804528
66,scifi,Karen Johnson,Increase player know teach teacher word top voice.,2.0,62.32022153689925
67,documentary,Dr. Clinton Watson MD,Apply leader answer strategy.,0.36,57.05758335192912
68,documentary,Peter Santiago,Ready relationship room worry everyone season.,1.48,47.335139284927855
69,romance,James Freeman,Interview pay lot billion.,0.8999999999999999,54.867443670463544
70,scifi,Amanda Morgan,Value go under fund help.,0.8700000000000001,54.656012128191165
71,comedy,Raven Baxter,Production sport board his kitchen.,1.64,48.21631158208991
72,romance,Kenneth Cooper,Talk talk of up.,0.33,54.16183777436539
73,documentary,Joseph Vargas,Into campaign just front level.,0.9099999999999999,40.00524276614471
74,documentary,Christopher Lewis,Yes training everybody loss.,0.8999999999999999,51.97070919151594
75,documentary,Shawn Stanley,Every cell exactly outside agent may.,0.63,47.00240579279152
76,scifi,Erin Garner,Meet moment hand analysis lose dark party.,1.8399999999999999,64.25419521749679
77,documentary,Susan Davis,One grow hold quality note.,0.46,37.71171317873411
78,romance,Mary Robles,Mind four friend special reality.,2.11,49.71954887093621
79,comedy,Jason Cooke,Why customer drug agency.,1.21,37.346348694872546
80,comedy,Lisa Castillo,Factor gas but field fish until have.,2.91,58.91940228159473
81,romance,Dr. Adam Glover,Member he us next hospital.,1.46,56.597705116016485
82,documentary,Gina Davidson,Create of direction chance service them.,1.79,38.9524897519457
83,documentary,Robert Hall,Nor bill about wide either Mr leader.,1.6199999999999999,42.63506781524301
84,scifi,Amber Schultz,Thousand region big anything.,0.69,40.07093327042632
85,comedy,Anthony Gilbert,Door early real move enter.,2.68,43.20345860915198
86,comedy,Jennifer Patel,Action charge action test gas.,1.27,59.13250863214048
87,comedy,Alexander Cortez,Bank number yard rock participant senior local.,1.53,64.07372695388432
88,scifi,Amanda Wilson,Most cell within.,0.63,50.83184827313214
89,scifi,Phyllis Wright,Reflect among car scene.,2.73,57.45130829138159
90,documentary,Jesse Hayes,Challenge describe whom bag.,1.47,65.2741795810867
91,scifi,Logan Cantu,Republican plant site child until chance phone.,2.6900000000000004,46.422408350293715
92,comedy,Micheal Smith,Bar white describe.,1.74,34.95399237390418
93,comedy,Christina Gregory,Age hit open.,3.1700000000000004,43.66475366496387
94,scifi,Jeffrey Morales,Poor plan test woman face.,0.8999999999999999,48.53730879903788
95,scifi,Krista Colon,Check tough deep computer.,1.8399999999999999,45.64514339807667
96,romance,Cassidy Nunez,Fish at pull medical ability.,0.47000000000000003,47.486539912803984
97,documentary,Richard Flores,Heart left what road agree.,3.0500000000000003,55.58134977808927
98,comedy,Charles Newton,Production month vote list.,1.56,49.75341859188979
99,comedy,Deanna Brown,Skin everyone stop defense must international.,1.49,49.78850861605125
100,scifi,Michele Simmons,Agency despite leave field situation.,1.41,48.13589742817384
101,comedy,Sarah Buckley,Image too various century hospital play military.,0.8800000000000001,45.46332639033135
102,documentary,Leon Mccormick,Democrat hand yes his try dark.,1.71,39.3301728924654
103,documentary,Laura Garcia,Account deal save create discussion perform.,1.29,55.07707478164783
104,romance,Casey Carson,Organization issue town there.,0.69,61.32098483983525
105,comedy,Danny Rodriguez,Wife age write direction field.,2.56,61.15758083728274
106,romance,Heather Guerrero,What treatment culture trial challenge make.,2.6700000000000004,48.47631067940479
107,scifi,Monica Garcia,Place table become third also.,1.71,52.66557260432534
108,comedy,Kimberly Griffith,Charge all thus thing ready major stay.,0.35,47.70011363945382
109,comedy,Pamela Morris,Let recently mind such year.,0.36,42.89986968044646
110,scifi,Kathryn Hodge,History decide bar region building allow be guy.,1.52,49.94163341038577
111,romance,Robert Hurley,Image I treatment help.,2.27,51.42213838966246
112,documentary,Todd Farley,Of return me win others million husband time.,3.1100000000000003,48.09251175418835
113,scifi,David Morrison,Eight concern author expert.,3.0300000000000002,23.53978113156149
114,documentary,Karen Bryan,Both new actually.,0.51,52.517570602620424
115,scifi,Larry Roy,Off us later decision understand practice.,2.24,48.84180320651353
116,documentary,Thomas Mccoy,Take care avoid change senior.,1.28,54.09695770262135
117,scifi,Jenna Maldonado,Public court magazine building network success night.,1.56,69.68564614413022
118,romance,Lisa Williams,Customer tonight southern that many hit.,1.18,38.44899824389909
119,romance,James Phillips,Similar admit bill inside.,2.9200000000000004,51.13608268456869
120,romance,Emily Anderson,Election own factor money.,2.1,51.05381612807444
121,comedy,Marissa Moreno,Floor involve choose series factor.,2.4400000000000004,44.38258370039493
122,romance,Daniel Smith,Control business south so.,0.78,32.807983685734236
123,comedy,William Black,Seat than actually single reach process.,0.39,30.50544053695637
124,documentary,Scott Padilla,Source order no until any not from month.,1.57,70.9626240766689
125,documentary,Tony Moore,Town garden center our until compare loss it.,1.64,60.21367543524009
126,romance,John Herrera,Road he evening edge focus season other.,1.63,63.0533420382564
127,documentary,Bryce Hays,Fall federal hard theory time.,2.93,26.447103310552468
128,scifi,Stephen Phillips,Another career several free down gun member.,2.09,43.91653244019511
129,romance,Kathleen Miles,Only accept then serve into forget actually.,1.12,57.285332521565714
130,comedy,Jason Holloway,Language blood wait put half American.,1.05,53.07629123117955
131,scifi,Jesse Stone,Candidate whose item major.,2.46,38.379460251325476
132,romance,Jennifer Weiss,Big change position wide carry season.,1.19,64.97794128409373
133,scifi,Glenn Russo,Box performance ready paper smile stop.,0.55,47.40165865207319
134,romance,Claudia Fisher,Pretty month fill become.,0.34,41.793666503689714
135,documentary,Christine Anderson,Trade consumer miss mission close catch quality.,1.5999999999999999,40.450287291769556
136,romance,Brittney Lee,Night TV attention worker.,1.79,42.84665053649089
137,documentary,Diana Blair,Believe doctor they fish.,1.03,67.10911126740271
138,romance,Amber Campbell PhD,Race catch young law relate could.,0.96,35.510610829359216
139,documentary,Linda Hanson,Bring color ability within few throughout white throughout.,1.54,40.97328378178346
140,romance,Cathy Page,Side final leader front visit kitchen speech them.,3.06,55.215520070637744
141,comedy,Benjamin Mason,Charge indicate several dog.,0.73,59.3636149796999
142,comedy,Kevin Quinn,Whether for candidate mention bring night for.,2.22,55.436331386308396
143,documentary,Adrian Hawkins,Stage morning ok.,1.82,61.050679961687955
144,comedy,Charles Foster,Choose own eight history approach small.,2.33,37.54968296322158
145,romance,Emily Bowers,Add rest minute hair.,2.62,52.04921328529555
146,documentary,Kristen Watson,Conference special realize.,2.2,37.93397294316715
147,documentary,Jeffrey Austin,All fish really fly whatever attorney media.,0.98,58.83631651160839
148,scifi,Kyle Thomas,Sell morning life article.,1.03,52.91277370681511
149,documentary,Noah Mcgee,Wait central watch send themselves.,0.44,39.42165061171868
150,documentary,Brett White,Speech baby draw yeah also your.,0.31,64.27849357395273
151,romance,Michael Fisher,For special decade relate.,1.78,44.552598014876054
152,comedy,Linda Bradley,Star movement information actually resource establish.,3.1700000000000004,58.3422658404128
153,comedy,Christie Acosta,Mind rate top who area agree theory.,1.82,45.520879308004396
154,scifi,Thomas Hubbard,Drive position spring bank region usually tend.,2.41,46.256002135467945
155,romance,Stephen Clark,Goal development player away enough prove sense.,0.29000000000000004,57.88395853182459
156,comedy,Angela Davis,Worry computer read evidence its.,2.48,41.613093055265125
157,documentary,Audrey Flores,Dinner religious see election their.,0.94,51.32542743204375
158,scifi,Scott Allen,Near edge success parent hundred organization piece.,2.5,44.80315382210869
159,documentary,Christopher Decker,Education stop because society worry describe.,2.39,45.38195812115031
160,romance,Benjamin Banks MD,Civil that book purpose.,0.23,66.52925212723756
161,documentary,Amy Wallace,Leg model with bill mother.,0.8400000000000001,47.217709100643674
162,documentary,Mr. Charles Morgan,Skill organization design white me very.,3.14,39.688038954261344
163,comedy,Breanna Clarke,Financial radio offer culture.,0.9199999999999999,41.98737467193555
164,romance,Shannon Bryant,Lead nice someone party treat area.,0.38,50.19034531879703
165,comedy,Nancy Harrison,Officer already accept.,1.98,42.79741148476379
166,scifi,Stephen Lynch,Head hand similar item which agency message.,1.3599999999999999,73.22121015896823
167,romance,Amy Montgomery,Medical her full dark.,3.08,55.73231624339067
168,romance,Holly Durham,Quickly modern begin authority.,2.72,46.42958566648954
169,comedy,Kimberly Ward,West store sister whether.,2.48,37.903769965546346
170,comedy,Nicholas West,Late his fish property new effort debate.,2.66,37.91654683794447
171,scifi,Louis Villegas,Million break chair business.,2.6900000000000004,59.514426992458255
172,romance,Jacqueline Mendoza,Yet try case example.,3.18,60.583494797225285
173,documentary,Jessica Collins,Almost assume seem operation skill.,2.3800000000000003,51.84557308938769
174,scifi,Christopher Moore,Friend wall chair seven behavior.,0.52,73.66719375116952
175,documentary,Heather Walters,Else short song energy.,3.08,58.707588259549084
176,comedy,David Christian,Morning this coach possible spend environmental.,1.66,67.39404824343474
177,scifi,Patty Barajas,Present hear most Democrat notice old get.,0.72,44.441075954609765
178,comedy,Jessica Warner,Film head style see.,0.4,48.81559131110206
179,scifi,Jessica Norris,Officer claim them will left bit.,1.28,53.29670394801153
180,comedy,Christina Wilson,Order group wall oil.,1.26,48.95261144220981
181,comedy,Tyler Harris,Discover beat day seem low.,2.24,45.44159727767785
182,documentary,Travis Brown,Make rule cut.,1.79,67.73217355177346
183,documentary,John Le,He always thank example.,3.0500000000000003,44.77574290336098
184,comedy,Patricia Mcdonald,Together our television everybody more scene shoulder.,1.99,38.571315239814645
185,scifi,Hector Holmes,Marriage will certainly theory.,2.31,54.58473387180929
186,documentary,Valerie Collins,Teach point really challenge.,2.75,44.83170882261993
187,comedy,Joseph Fields,Call four write.,2.02,52.0341004451665
188,scifi,Cindy Bowman,Minute arrive pretty ever must environmental.,2.9000000000000004,44.80439020057883
189,comedy,Ashley Weeks,Represent firm page build wait matter that.,2.16,61.72863077568785
190,scifi,Catherine Fox,May arm surface even listen yes.,1.5799999999999998,53.43202573581419
191,romance,Angela Montoya,Kind key modern beyond management could population.,1.8,41.64275853968741
192,comedy,Sarah Moore,Vote road bag each red.,0.4,38.6238395736293
193,comedy,Scott Shaffer,Rather their evidence foot book someone by.,2.14,35.376523742742584
194,documentary,Kimberly Meyers,Source article assume add down.,1.8299999999999998,52.311388694815676
195,romance,Alec Brown,Road material billion outside he research.,2.23,48.166427544385975
196,scifi,Marc Parker,International weight writer.,2.71,40.765285131661116
197,comedy,Brian Hicks,Degree same go case.,2.0500000000000003,56.48036711211392
198,comedy,Kelly Campbell,Surface animal show respond.,1.4,56.18868486731378
199,comedy,Kristen Washington,Camera owner personal nation teacher store item federal.,3.0700000000000003,45.43553454822549
200,documentary,Brian Moran,Argue consider turn citizen.,3.0700000000000003,39.48924022895828
201,comedy,John Norris,House production little interesting evening to.,2.6100000000000003,66.45048789758621
202,scifi,Nancy Scott,Because stage table never.,2.87,59.0335752434718
203,comedy,Leslie Fisher,Drive where tell language he record medical may.,1.71,39.99686651913151
204,romance,Jason Shaw,Everyone week live son more hope concern expert.,2.31,60.86017951237217
205,romance,Jonathan Contreras,Child door top special quite.,0.44,60.303720125467784
206,scifi,Beverly Gardner,See model condition election nation simple economic.,0.39,43.552346775671104
207,romance,Alex Flores,Government western according after increase why mean.,1.3699999999999999,54.26679596205649
208,comedy,Scott Stewart,Coach line page dog let.,1.26,39.59681171316448
209,romance,Sheena Wilson,Suddenly peace else important.,3.0700000000000003,55.62021761989652
210,scifi,Jeremiah Olson,Material site own few tend majority ahead.,2.29,53.78266372782001
211,romance,Natalie Wright,Nearly will west size yes.,2.64,32.5981341454346
212,scifi,Timothy Lopez,Become capital all whatever among I.,1.15,57.07960885694982
213,documentary,Samantha Wiley,Police international to simple effect either surface.,0.61,40.13349225439361
214,documentary,Mark Williams,Speak training own consider him human make.,3.0700000000000003,56.79914714369049
215,scifi,Margaret Craig,Place another project miss.,2.62,58.974339003763106
216,comedy,Derek Banks,Magazine owner current yeah whose.,1.7,50.12806327263718
217,comedy,Michael Jones,Must read international billion south reason.,0.6000000000000001,74.91257310528917
218,documentary,Kelly Davis,Successful once cold like goal include.,1.88,55.22862167602795
219,documentary,Darren Wong,Nothing stay arrive method stock cup his.,2.06,46.43878653376332
220,comedy,Frank Peterson,Third form culture speak consumer happen.,1.98,42.43087260493624
221,documentary,Matthew Mcbride,Personal control same main.,1.73,47.840633651371505
222,romance,Kelly Adams,Hundred study place see citizen list finish contain.,1.88,49.87674938122124
223,scifi,Michael Horton,Evidence radio have ago deep.,2.52,55.3784550397698
224,documentary,Kathryn Walker,Apply and pretty bank foot.,2.68,45.56580746374355
225,romance,Stephanie Vincent,Summer my number knowledge third interest.,3.1500000000000004,60.207478761815295
226,scifi,Russell Johnson,Discover ok guess watch high.,2.7800000000000002,43.43061428087001
227,scifi,Sean Sullivan,Dog leave according decision.,0.38,47.0653692734913
228,romance,Steven Sherman,Garden gun positive.,3.16,55.0673513253465
229,romance,James Garcia,Accept word stock outside foot.,1.66,53.224511512164334
230,documentary,Andrew Bell,Necessary let population bar.,0.54,44.66174260362189
231,romance,David Collins,Coach society place own this the clearly should.,0.36,60.21264018612145
232,scifi,Tracy Patel,Everybody head economic before smile building.,1.78,48.810539426312005
233,romance,Rebecca Dillon,Form size draw while.,2.3000000000000003,56.78579317347302
234,comedy,Valerie Jacobs,It later manager learn American every themselves.,2.4000000000000004,37.726724996466224
235,scifi,Kimberly Gibson,Field place show visit.,2.35,54.69604862224151
236,comedy,Matthew Hill,Today sell civil spend onto.,2.79,41.76306260491758
237,comedy,Barry Krueger,Station among family think position.,1.76,45.89974007796567
238,romance,Amy Cabrera,Enter physical memory.,1.21,65.23574269534004
239,scifi,Rebecca Turner,Sit particular indeed to professor good.,2.79,52.98670411422725
240,documentary,Maria Burton,Once right civil under material building.,1.8299999999999998,69.21002881820702
241,romance,Alexander Thompson,Into special forward interest itself.,2.95,49.991082620350866
242,romance,April Larson,Goal expect film draw visit science.,1.74,56.746723236014624
243,documentary,Angel Best,Yeah country gas western world throughout weight.,1.71,48.7665498786294
244,romance,Dr. Julia Moore,Surface meet cultural discover capital including.,1.78,47.816798070133714
245,scifi,Brandy Lee,East half yet argue.,1.71,43.907140299739126
246,comedy,Jeremy Williams,Story enough after when.,3.04,64.477881565434
247,scifi,Todd Ruiz,Eight cover behavior.,0.53,48.119916081658396
248,scifi,Lisa Watkins,Decide manage two edge another political identify.,2.54,61.20166817879682
249,comedy,Michael Harris,Reality continue really others paper.,2.98,50.70766786365784
250,scifi,Harry Hodges,Difference challenge decide thought least turn employee.,1.16,57.22850475919899
251,documentary,Lynn Rodriguez,Suffer number north pattern.,2.6,47.930316991793944
252,comedy,Linda Munoz,Continue imagine letter ball interest scientist American of.,1.07,62.24893693425999
253,scifi,Denise Salazar,Sell like statement ten.,2.1,63.20218179941767
254,documentary,Anna Barry,Discuss behind last suggest special fine.,2.7600000000000002,69.50211051629894
255,comedy,Dale Wiggins,Organization although against three author enjoy try officer.,1.5899999999999999,51.92774291354256
256,comedy,Pedro Ballard,Inside only approach drive.,2.43,55.61320871912352
257,documentary,Valerie Dyer,Establish say hospital move mission list term listen.,3.1900000000000004,39.59854479014483
258,romance,Dustin Romero,Record write fast.,2.7600000000000002,40.384410413148785
259,comedy,Paul Brown,Your month board site.,1.49,38.26188756431591
260,comedy,John Campbell,North similar throw draw bed charge speak.,2.0,45.457837977769486
261,romance,James Holden,Attack about challenge response.,0.64,50.915066684120625
262,documentary,Christina Lin,Believe current program human bill person.,1.67,55.72111799374847
263,documentary,Justin Lopez,Although east where agreement lot possible serious support.,1.96,53.70109247537382
264,scifi,Antonio Duran,Design there more inside one.,0.5900000000000001,48.79677598740913
265,romance,Pamela Johnson,Bit production film general security.,1.66,58.690269467892506
266,romance,Christopher Nelson,Drug voice born month great consider.,3.0,67.46804436660237
267,scifi,Jacob Mann,Apply their may we.,1.69,47.814998900816335
268,comedy,Ian Morris,Learn six hold decision lose deal continue.,0.34,58.896271312532086
269,documentary,Nicole Moore,Want nature buy pull discover education.,2.9000000000000004,59.90050767021252
270,comedy,William Reynolds,Lay voice program adult.,0.46,41.46466763647195
271,scifi,Bruce Callahan,Party free season those certainly outside.,1.39,58.40325188468958
272,documentary,Shannon Greer,Family feel training same relate clearly Republican.,0.41000000000000003,51.11207031438637
273,romance,Sally Perez,Responsibility travel type black remember read.,2.33,69.29338314632656
274,scifi,Lori Reeves,Information job scene west upon education.,2.0700000000000003,51.71110416069243
275,romance,Lisa Diaz,Notice attorney whose pick young.,1.63,50.486079026438574
276,scifi,Lydia Gallegos,Picture trade because great prove.,2.25,57.03509152373902
277,romance,Kenneth Lopez,Hotel also set action participant.,3.14,33.31802124550843
278,comedy,Erin Weaver,Institution half seem TV painting cover.,2.1,69.00521686495867
279,romance,Victoria Pollard,Big something drive bad condition term.,2.77,18.34417388191477
280,scifi,Mary Pineda,Himself visit huge behind.,2.45,45.030651725523214
281,comedy,Andrea Gutierrez,Store practice contain cup rock.,3.1300000000000003,51.734747250769615
282,romance,Bruce Rice,Leave community itself sort simply speech most.,2.5100000000000002,42.99123804182228
283,comedy,Brooke Boyer,Value high consumer modern assume image.,1.92,49.658349125557166
284,scifi,Lindsay Hunt,Heart everybody nation language trade onto performance.,0.43000000000000005,47.288906042477365
285,comedy,Ronnie Evans,Ten talk detail these edge sell sister.,1.21,59.0626735995595
286,documentary,Colleen Foley,Account mouth probably fish investment program.,1.01,63.67040053993316
287,documentary,Christy Jackson,Which bring chance movement magazine.,1.29,51.48381072179515
288,scifi,Amy Powers,Surface foot wrong difference respond.,1.77,51.89677397399343
289,scifi,Heather Wilson,Century expert case sound imagine field.,2.14,66.41789732087213
290,scifi,David Jackson,Study attack smile the.,2.8200000000000003,48.01234492393624
291,scifi,Michael Terry,Reveal arm someone positive.,0.22,43.19095335416965
292,romance,Lisa Moss,General draw bank one position continue.,2.12,64.39355934640108
293,scifi,Travis Reese,Necessary know customer task down.,1.67,48.63474100022573
294,documentary,Steven Lopez,Listen around kind first.,3.06,51.350492555340665
295,comedy,Caitlyn Martin,Mention stop trouble impact.,2.6500000000000004,56.06943664597735
296,scifi,Phillip Cortez,Stay building either reason run his.,1.01,57.28989026842751
297,documentary,Mary Griffin,Rather though age magazine expert best top system.,1.88,58.35746040811312
298,scifi,Mary Mitchell,Begin employee audience born increase.,2.0300000000000002,40.24839508790757
299,scifi,Linda Valencia,Call law life evening catch.,2.29,43.175665105010715
300,documentary,Kyle Collins,Data government himself station task effort road.,2.1,55.54427282654152
301,comedy,Wesley Gibson,Agent bit successful cold nature.,1.04,50.48244343605735
302,scifi,Anthony Wilson,Report as loss.,1.39,31.008921229549866
303,documentary,Nathan Christensen,Official four customer near certainly.,1.89,61.41471136777052
304,documentary,Mark Larson,Understand can PM relate girl do.,1.75,43.51495504588617
305,romance,Kathleen Morrison,Man off thousand cost hair attorney quickly.,1.8599999999999999,47.73782226408567
306,romance,Mr. Vincent Gardner,Even grow leader.,0.8899999999999999,37.657961569664046
307,comedy,Regina Flores,More beyond speak education single body anyone.,2.71,59.161470289137306
308,documentary,Timothy Peterson,See away available thank act matter left.,0.98,54.13392872356088
309,romance,Judy Burke,Eat budget do door people security magazine speech.,0.6799999999999999,49.68609524280575
310,comedy,Heather Sims,Military must occur answer set.,1.22,45.80460062374289
311,documentary,Lisa Simmons,Our provide quite.,0.77,53.11136043108419
312,documentary,Jasmine Bennett,Fish campaign across me store indicate.,1.28,55.7627732012844
313,documentary,Emily Duran,Meet administration go college special condition everybody leave.,2.43,44.08700308682207
314,documentary,Katie Franklin,Send everything citizen executive view plan.,2.5,63.13674146339173
315,documentary,Cassidy King,Story audience leave fire.,0.52,65.77563478980925
316,scifi,Allison Adams,Yet college today these.,0.49,44.926370241949336
317,comedy,Laurie Bailey MD,Between size knowledge movie.,3.1900000000000004,38.67616299168716
318,documentary,Steven Perkins,Season history treatment dark manager smile parent.,1.7,49.9526221689277
319,romance,Nichole Hill,Hand perform protect establish return.,1.55,67.98871031653778
320,comedy,Christine Davis,Success tonight thousand possible the.,2.14,27.558007293025483
321,comedy,Jesse Heath,Several court boy red.,1.78,43.41015804435353
322,documentary,Natalie Cox,Amount ball three next enjoy treatment thing occur.,2.7800000000000002,49.06043933524568
323,comedy,Thomas Cross,Catch drive station consumer.,0.5,41.242076938976034
324,comedy,Anita Powell,They later interest pattern race.,0.98,54.57712865870183
325,comedy,Lisa Tran,Scene exist pull structure I eat.,0.35,60.978068737043586
326,documentary,Maria Wong,Support for stand car.,2.73,47.34155779602176
327,romance,Philip Moon,Tend same require only sport.,3.0300000000000002,66.53470965776428
328,scifi,Scott Rogers,Audience ability east catch seven.,3.1,44.99868901712538
329,comedy,Anthony Boyd,Staff student main now reach material.,1.63,54.37648067855921
330,scifi,Nicholas Mullins,Short establish draw today.,0.95,40.98754163600644
331,documentary,Pamela Eaton,Woman subject again history deep fear technology actually.,2.2600000000000002,45.49302039119971
332,scifi,Anthony Rodriguez,Too half week today born former possible.,0.54,48.64344230746025
333,scifi,Donna Smith,View them beautiful loss go rule.,0.33,41.375570831673805
334,scifi,Robert Singleton,Find military call sell quickly character anyone.,1.12,47.22089123755336
335,comedy,Ms. Sherri Drake DDS,Environmental consumer resource lose beyond family better.,0.75,54.71830380463254
336,romance,Christopher Murphy,Think purpose vote source according cup full.,2.6300000000000003,48.45565524991997
337,comedy,Melanie Hubbard,Find tell put term race.,2.3400000000000003,40.40236747642978
338,documentary,Lynn Howell,Five lose son herself individual.,2.25,49.819305823951886
339,scifi,Kristina Rowe,Wear just stage he partner rather accept.,1.27,56.38952227356402
340,romance,Jennifer Hernandez,Pressure new key herself already thought second science.,0.99,48.818807759338505
341,romance,Sheila Zimmerman,Turn song debate election program now.,2.5700000000000003,42.335275461427365
342,romance,Rachel Davis,Real majority story range will behind.,2.4000000000000004,43.859797605452684
343,comedy,Amanda Buck,Story wall decision community.,2.46,47.39734492725953
344,documentary,Robert Mitchell,Station person fast finish situation.,0.36,44.6850236802274
345,comedy,Katie Garcia,Morning voice try than tree trouble.,1.5799999999999998,59.23510209077429
346,romance,Loretta Edwards,Price sister stand turn.,3.0100000000000002,58.58075871779568
347,comedy,Jennifer Owens,Feel husband kitchen medical small song.,0.33,40.228401344500014
348,documentary,William Callahan,Rise raise various.,2.75,43.97893967728851
349,documentary,Deanna Brooks,National bar speak expect paper.,0.42000000000000004,58.572653299935645
350,scifi,Travis Powell,Pm lot research.,1.8,37.22663408221215
351,documentary,James White,Individual senior marriage art also remain.,0.6000000000000001,45.46318839237878
352,romance,Micheal Cunningham,Property day window whom information.,2.19,58.16728946174119
353,documentary,Alison Nguyen,Those up leave star the bit.,3.0500000000000003,47.377732362755836
354,comedy,John Strong,Food responsibility wife others.,0.44,76.00079452335618
355,romance,John Peterson,Media smile help response short stay popular.,0.66,45.37167114165787
