film_id=1, genre='comedy', director_name='David Dixon', title='Candidate mean cover start environment interview those.', length=1.16, rating=61.00184253535795
film_id=51, genre='comedy', director_name='James Fernandez', title='Tell race thus wind fight area dog.', length=0.65, rating=50.62206202471845
film_id=52, genre='romance', director_name='Linda Jackson', title='Issue remain image kitchen fact.', length=2.5900000000000003, rating=57.86064351860101
film_id=53, genre='romance', director_name='Claudia Ward', title='Seek drop price until painting.', length=2.45, rating=45.70709004573617
film_id=54, genre='documentary', director_name='Bradley Berger DDS', title='Number bad building top brother deep grow.', length=1.16, rating=38.840512728263306
film_id=55, genre='romance', director_name='Kristina Berger', title='Quality although true first somebody.', length=0.6000000000000001, rating=45.406089849103516
film_id=56, genre='documentary', director_name='Jared Parker', title='Use star individual eat increase.', length=2.54, rating=57.15812897770131
film_id=57, genre='documentary', director_name='Dr. Amy Chavez', title='Father public treatment teach fear management rise.', length=0.96, rating=36.315154956247845
film_id=58, genre='scifi', director_name='David Travis', title='Recognize source federal send.', length=3.0300000000000002, rating=54.64732214324457
film_id=59, genre='scifi', director_name='Steven Lopez', title='Drive dark agency rise.', length=0.9099999999999999, rating=59.00771492927576
film_id=60, genre='documentary', director_name='Sarah Evans', title='Miss raise sister doctor rule not.', length=2.73, rating=41.36998080507221
film_id=61, genre='comedy', director_name='David Bridges', title='Last brother show.', length=1.54, rating=41.59287731484372
film_id=62, genre='documentary', director_name='Dennis Robinson', title='Include true ask wait run nothing.', length=0.96, rating=43.31585543829267
film_id=63, genre='documentary', director_name='Carol Swanson', title='Care ago development just region federal institution.', length=1.72, rating=64.23749386781486
film_id=64, genre='romance', director_name='Erin Sanchez', title='Wait world major suffer national develop.', length=2.9000000000000004, rating=35.52496106086543
film_id=65, genre='romance', director_name='Dennis Arellano', title='Now people would act today help team think.', length=1.63, rating=67.67375063804528
film_id=66, genre='scifi', director_name='Karen Johnson', title='Increase player know teach teacher word top voice.', length=2.0, rating=62.32022153689925
film_id=67, genre='documentary', director_name='Dr. Clinton Watson MD', title='Apply leader answer strategy.', length=0.36, rating=57.05758335192912
film_id=68, genre='documentary', director_name='Peter Santiago', title='Ready relationship room worry everyone season.', length=1.48, rating=47.335139284927855
film_id=69, genre='romance', director_name='James Freeman', title='Interview pay lot billion.', length=0.8999999999999999, rating=54.867443670463544
film_id=70, genre='scifi', director_name='Amanda Morgan', title='Value go under fund help.', length=0.8700000000000001, rating=54.656012128191165
film_id=71, genre='comedy', director_name='Raven Baxter', title='Production sport board his kitchen.', length=1.64, rating=48.21631158208991
film_id=72, genre='romance', director_name='Kenneth Cooper', title='Talk talk of up.', length=0.33, rating=54.16183777436539
film_id=73, genre='documentary', director_name='Joseph Vargas', title='Into campaign just front level.', length=0.9099999999999999, rating=40.00524276614471
film_id=74, genre='documentary', director_name='Christopher Lewis', title='Yes training everybody loss.', length=0.8999999999999999, rating=51.97070919151594
film_id=75, genre='documentary', director_name='Shawn Stanley', title='Every cell exactly outside agent may.', length=0.63, rating=47.00240579279152
film_id=76, genre='scifi', director_name='Erin Garner', title='Meet moment hand analysis lose dark party.', length=1.8399999999999999, rating=64.25419521749679
film_id=77, genre='documentary', director_name='Susan Davis', title='One grow hold quality note.', length=0.46, rating=37.71171317873411
film_id=78, genre='romance', director_name='Mary Robles', title='Mind four friend special reality.', length=2.11, rating=49.71954887093621
film_id=79, genre='comedy', director_name='Jason Cooke', title='Why customer drug agency.', length=1.21, rating=37.346348694872546
film_id=80, genre='comedy', director_name='Lisa Castillo', title='Factor gas but field fish until have.', length=2.91, rating=58.91940228159473
film_id=81, genre='romance', director_name='Dr. Adam Glover', title='Member he us next hospital.', length=1.46, rating=56.597705116016485
film_id=82, genre='documentary', director_name='Gina Davidson', title='Create of direction chance service them.', length=1.79, rating=38.9524897519457
film_id=83, genre='documentary', director_name='Robert Hall', title='Nor bill about wide either Mr leader.', length=1.6199999999999999, rating=42.63506781524301
film_id=84, genre='scifi', director_name='Amber Schultz', title='Thousand region big anything.', length=0.69, rating=40.07093327042632
film_id=85, genre='comedy', director_name='Anthony Gilbert', title='Door early real move enter.', length=2.68, rating=43.20345860915198
film_id=86, genre='comedy', director_name='Jennifer Patel', title='Action charge action test gas.', length=1.27, rating=59.13250863214048
film_id=87, genre='comedy', director_name='Alexander Cortez', title='Bank number yard rock participant senior local.', length=1.53, rating=64.07372695388432
film_id=88, genre='scifi', director_name='Amanda Wilson', title='Most cell within.', length=0.63, rating=50.83184827313214
film_id=89, genre='scifi', director_name='Phyllis Wright', title='Reflect among car scene.', length=2.73, rating=57.45130829138159
film_id=90, genre='documentary', director_name='Jesse Hayes', title='Challenge describe whom bag.', length=1.47, rating=65.2741795810867
film_id=91, genre='scifi', director_name='Logan Cantu', title='Republican plant site child until chance phone.', length=2.6900000000000004, rating=46.422408350293715
film_id=92, genre='comedy', director_name='Micheal Smith', title='Bar white describe.', length=1.74, rating=34.95399237390418
film_id=93, genre='comedy', director_name='Christina Gregory', title='Age hit open.', length=3.1700000000000004, rating=43.66475366496387
film_id=94, genre='scifi', director_name='Jeffrey Morales', title='Poor plan test woman face.', length=0.8999999999999999, rating=48.53730879903788
film_id=95, genre='scifi', director_name='Krista Colon', title='Check tough deep computer.', length=1.8399999999999999, rating=45.64514339807667
film_id=96, genre='romance', director_name='Cassidy Nunez', title='Fish at pull medical ability.', length=0.47000000000000003, rating=47.486539912803984
film_id=97, genre='documentary', director_name='Richard Flores', title='Heart left what road agree.', length=3.0500000000000003, rating=55.58134977808927
film_id=98, genre='comedy', director_name='Charles Newton', title='Production month vote list.', length=1.56, rating=49.75341859188979
film_id=99, genre='comedy', director_name='Deanna Brown', title='Skin everyone stop defense must international.', length=1.49, rating=49.78850861605125
film_id=100, genre='scifi', director_name='Michele Simmons', title='Agency despite leave field situation.', length=1.41, rating=48.13589742817384
film_id=101, genre='comedy', director_name='Sarah Buckley', title='Image too various century hospital play military.', length=0.8800000000000001, rating=45.46332639033135
film_id=102, genre='documentary', director_name='Leon Mccormick', title='Democrat hand yes his try dark.', length=1.71, rating=39.3301728924654
film_id=103, genre='documentary', director_name='Laura Garcia', title='Account deal save create discussion perform.', length=1.29, rating=55.07707478164783
film_id=104, genre='romance', director_name='Casey Carson', title='Organization issue town there.', length=0.69, rating=61.32098483983525
film_id=105, genre='comedy', director_name='Danny Rodriguez', title='Wife age write direction field.', length=2.56, rating=61.15758083728274
film_id=106, genre='romance', director_name='Heather Guerrero', title='What treatment culture trial challenge make.', length=2.6700000000000004, rating=48.47631067940479
film_id=107, genre='scifi', director_name='Monica Garcia', title='Place table become third also.', length=1.71, rating=52.66557260432534
film_id=108, genre='comedy', director_name='Kimberly Griffith', title='Charge all thus thing ready major stay.', length=0.35, rating=47.70011363945382
film_id=109, genre='comedy', director_name='Pamela Morris', title='Let recently mind such year.', length=0.36, rating=42.89986968044646
film_id=110, genre='scifi', director_name='Kathryn Hodge', title='History decide bar region building allow be guy.', length=1.52, rating=49.94163341038577
film_id=111, genre='romance', director_name='Robert Hurley', title='Image I treatment help.', length=2.27, rating=51.42213838966246
film_id=112, genre='documentary', director_name='Todd Farley', title='Of return me win others million husband time.', length=3.1100000000000003, rating=48.09251175418835
film_id=113, genre='scifi', director_name='David Morrison', title='Eight concern author expert.', length=3.0300000000000002, rating=23.53978113156149
film_id=114, genre='documentary', director_name='Karen Bryan', title='Both new actually.', length=0.51, rating=52.517570602620424
film_id=115, genre='scifi', director_name='Larry Roy', title='Off us later decision understand practice.', length=2.24, rating=48.84180320651353
film_id=116, genre='documentary', director_name='Thomas Mccoy', title='Take care avoid change senior.', length=1.28, rating=54.09695770262135
film_id=117, genre='scifi', director_name='Jenna Maldonado', title='Public court magazine building network success night.', length=1.56, rating=69.68564614413022
film_id=118, genre='romance', director_name='Lisa Williams', title='Customer tonight southern that many hit.', length=1.18, rating=38.44899824389909
film_id=119, genre='romance', director_name='James Phillips', title='Similar admit bill inside.', length=2.9200000000000004, rating=51.13608268456869
film_id=120, genre='romance', director_name='Emily Anderson', title='Election own factor money.', length=2.1, rating=51.05381612807444
film_id=121, genre='comedy', director_name='Marissa Moreno', title='Floor involve choose series factor.', length=2.4400000000000004, rating=44.38258370039493
film_id=122, genre='romance', director_name='Daniel Smith', title='Control business south so.', length=0.78, rating=32.807983685734236
film_id=123, genre='comedy', director_name='William Black', title='Seat than actually single reach process.', length=0.39, rating=30.50544053695637
film_id=124, genre='documentary', director_name='Scott Padilla', title='Source order no until any not from month.', length=1.57, rating=70.9626240766689
film_id=125, genre='documentary', director_name='Tony Moore', title='Town garden center our until compare loss it.', length=1.64, rating=60.21367543524009
film_id=126, genre='romance', director_name='John Herrera', title='Road he evening edge focus season other.', length=1.63, rating=63.0533420382564
film_id=127, genre='documentary', director_name='Bryce Hays', title='Fall federal hard theory time.', length=2.93, rating=26.447103310552468
film_id=128, genre='scifi', director_name='Stephen Phillips', title='Another career several free down gun member.', length=2.09, rating=43.91653244019511
film_id=129, genre='romance', director_name='Kathleen Miles', title='Only accept then serve into forget actually.', length=1.12, rating=57.285332521565714
film_id=130, genre='comedy', director_name='Jason Holloway', title='Language blood wait put half American.', length=1.05, rating=53.07629123117955
film_id=131, genre='scifi', director_name='Jesse Stone', title='Candidate whose item major.', length=2.46, rating=38.379460251325476
film_id=132, genre='romance', director_name='Jennifer Weiss', title='Big change position wide carry season.', length=1.19, rating=64.97794128409373
film_id=133, genre='scifi', director_name='Glenn Russo', title='Box performance ready paper smile stop.', length=0.55, rating=47.40165865207319
film_id=134, genre='romance', director_name='Claudia Fisher', title='Pretty month fill become.', length=0.34, rating=41.793666503689714
film_id=135, genre='documentary', director_name='Christine Anderson', title='Trade consumer miss mission close catch quality.', length=1.5999999999999999, rating=40.450287291769556
film_id=136, genre='romance', director_name='Brittney Lee', title='Night TV attention worker.', length=1.79, rating=42.84665053649089
film_id=137, genre='documentary', director_name='Diana Blair', title='Believe doctor they fish.', length=1.03, rating=67.10911126740271
film_id=138, genre='romance', director_name='Amber Campbell PhD', title='Race catch young law relate could.', length=0.96, rating=35.510610829359216
film_id=139, genre='documentary', director_name='Linda Hanson', title='Bring color ability within few throughout white throughout.', length=1.54, rating=40.97328378178346
film_id=140, genre='romance', director_name='Cathy Page', title='Side final leader front visit kitchen speech them.', length=3.06, rating=55.215520070637744
film_id=141, genre='comedy', director_name='Benjamin Mason', title='Charge indicate several dog.', length=0.73, rating=59.3636149796999
film_id=142, genre='comedy', director_name='Kevin Quinn', title='Whether for candidate mention bring night for.', length=2.22, rating=55.436331386308396
film_id=143, genre='documentary', director_name='Adrian Hawkins', title='Stage morning ok.', length=1.82, rating=61.050679961687955
film_id=144, genre='comedy', director_name='Charles Foster', title='Choose own eight history approach small.', length=2.33, rating=37.54968296322158
film_id=145, genre='romance', director_name='Emily Bowers', title='Add rest minute hair.', length=2.62, rating=52.04921328529555
film_id=146, genre='documentary', director_name='Kristen Watson', title='Conference special realize.', length=2.2, rating=37.93397294316715
film_id=147, genre='documentary', director_name='Jeffrey Austin', title='All fish really fly whatever attorney media.', length=0.98, rating=58.83631651160839
film_id=148, genre='scifi', director_name='Kyle Thomas', title='Sell morning life article.', length=1.03, rating=52.91277370681511
film_id=149, genre='documentary', director_name='Noah Mcgee', title='Wait central watch send themselves.', length=0.44, rating=39.42165061171868
film_id=150, genre='documentary', director_name='Brett White', title='Speech baby draw yeah also your.', length=0.31, rating=64.27849357395273
film_id=151, genre='romance', director_name='Michael Fisher', title='For special decade relate.', length=1.78, rating=44.552598014876054
film_id=152, genre='comedy', director_name='Linda Bradley', title='Star movement information actually resource establish.', length=3.1700000000000004, rating=58.3422658404128
film_id=153, genre='comedy', director_name='Christie Acosta', title='Mind rate top who area agree theory.', length=1.82, rating=45.520879308004396
film_id=154, genre='scifi', director_name='Thomas Hubbard', title='Drive position spring bank region usually tend.', length=2.41, rating=46.256002135467945
film_id=155, genre='romance', director_name='Stephen Clark', title='Goal development player away enough prove sense.', length=0.29000000000000004, rating=57.88395853182459
film_id=156, genre='comedy', director_name='Angela Davis', title='Worry computer read evidence its.', length=2.48, rating=41.613093055265125
film_id=157, genre='documentary', director_name='Audrey Flores', title='Dinner religious see election their.', length=0.94, rating=51.32542743204375
film_id=158, genre='scifi', director_name='Scott Allen', title='Near edge success parent hundred organization piece.', length=2.5, rating=44.80315382210869
film_id=159, genre='documentary', director_name='Christopher Decker', title='Education stop because society worry describe.', length=2.39, rating=45.38195812115031
film_id=160, genre='romance', director_name='Benjamin Banks MD', title='Civil that book purpose.', length=0.23, rating=66.52925212723756
film_id=161, genre='documentary', director_name='Amy Wallace', title='Leg model with bill mother.', length=0.8400000000000001, rating=47.217709100643674
film_id=162, genre='documentary', director_name='Mr. Charles Morgan', title='Skill organization design white me very.', length=3.14, rating=39.688038954261344
film_id=163, genre='comedy', director_name='Breanna Clarke', title='Financial radio offer culture.', length=0.9199999999999999, rating=41.98737467193555
film_id=164, genre='romance', director_name='Shannon Bryant', title='Lead nice someone party treat area.', length=0.38, rating=50.19034531879703
film_id=165, genre='comedy', director_name='Nancy Harrison', title='Officer already accept.', length=1.98, rating=42.79741148476379
film_id=166, genre='scifi', director_name='Stephen Lynch', title='Head hand similar item which agency message.', length=1.3599999999999999, rating=73.22121015896823
film_id=167, genre='romance', director_name='Amy Montgomery', title='Medical her full dark.', length=3.08, rating=55.73231624339067
film_id=168, genre='romance', director_name='Holly Durham', title='Quickly modern begin authority.', length=2.72, rating=46.42958566648954
film_id=169, genre='comedy', director_name='Kimberly Ward', title='West store sister whether.', length=2.48, rating=37.903769965546346
film_id=170, genre='comedy', director_name='Nicholas West', title='Late his fish property new effort debate.', length=2.66, rating=37.91654683794447
film_id=171, genre='scifi', director_name='Louis Villegas', title='Million break chair business.', length=2.6900000000000004, rating=59.514426992458255
film_id=172, genre='romance', director_name='Jacqueline Mendoza', title='Yet try case example.', length=3.18, rating=60.583494797225285
film_id=173, genre='documentary', director_name='Jessica Collins', title='Almost assume seem operation skill.', length=2.3800000000000003, rating=51.84557308938769
film_id=174, genre='scifi', director_name='Christopher Moore', title='Friend wall chair seven behavior.', length=0.52, rating=73.66719375116952
film_id=175, genre='documentary', director_name='Heather Walters', title='Else short song energy.', length=3.08, rating=58.707588259549084
film_id=176, genre='comedy', director_name='David Christian', title='Morning this coach possible spend environmental.', length=1.66, rating=67.39404824343474
film_id=177, genre='scifi', director_name='Patty Barajas', title='Present hear most Democrat notice old get.', length=0.72, rating=44.441075954609765
film_id=178, genre='comedy', director_name='Jessica Warner', title='Film head style see.', length=0.4, rating=48.81559131110206
film_id=179, genre='scifi', director_name='Jessica Norris', title='Officer claim them will left bit.', length=1.28, rating=53.29670394801153
film_id=180, genre='comedy', director_name='Christina Wilson', title='Order group wall oil.', length=1.26, rating=48.95261144220981
film_id=181, genre='comedy', director_name='Tyler Harris', title='Discover beat day seem low.', length=2.24, rating=45.44159727767785
film_id=182, genre='documentary', director_name='Travis Brown', title='Make rule cut.', length=1.79, rating=67.73217355177346
film_id=183, genre='documentary', director_name='John Le', title='He always thank example.', length=3.0500000000000003, rating=44.77574290336098
film_id=184, genre='comedy', director_name='Patricia Mcdonald', title='Together our television everybody more scene shoulder.', length=1.99, rating=38.571315239814645
film_id=185, genre='scifi', director_name='Hector Holmes', title='Marriage will certainly theory.', length=2.31, rating=54.58473387180929
film_id=186, genre='documentary', director_name='Valerie Collins', title='Teach point really challenge.', length=2.75, rating=44.83170882261993
film_id=187, genre='comedy', director_name='Joseph Fields', title='Call four write.', length=2.02, rating=52.0341004451665
film_id=188, genre='scifi', director_name='Cindy Bowman', title='Minute arrive pretty ever must environmental.', length=2.9000000000000004, rating=44.80439020057883
film_id=189, genre='comedy', director_name='Ashley Weeks', title='Represent firm page build wait matter that.', length=2.16, rating=61.72863077568785
film_id=190, genre='scifi', director_name='Catherine Fox', title='May arm surface even listen yes.', length=1.5799999999999998, rating=53.43202573581419
film_id=191, genre='romance', director_name='Angela Montoya', title='Kind key modern beyond management could population.', length=1.8, rating=41.64275853968741
film_id=192, genre='comedy', director_name='Sarah Moore', title='Vote road bag each red.', length=0.4, rating=38.6238395736293
film_id=193, genre='comedy', director_name='Scott Shaffer', title='Rather their evidence foot book someone by.', length=2.14, rating=35.376523742742584
film_id=194, genre='documentary', director_name='Kimberly Meyers', title='Source article assume add down.', length=1.8299999999999998, rating=52.311388694815676
film_id=195, genre='romance', director_name='Alec Brown', title='Road material billion outside he research.', length=2.23, rating=48.166427544385975
film_id=196, genre='scifi', director_name='Marc Parker', title='International weight writer.', length=2.71, rating=40.765285131661116
film_id=197, genre='comedy', director_name='Brian Hicks', title='Degree same go case.', length=2.0500000000000003, rating=56.48036711211392
film_id=198, genre='comedy', director_name='Kelly Campbell', title='Surface animal show respond.', length=1.4, rating=56.18868486731378
film_id=199, genre='comedy', director_name='Kristen Washington', title='Camera owner personal nation teacher store item federal.', length=3.0700000000000003, rating=45.43553454822549
film_id=200, genre='documentary', director_name='Brian Moran', title='Argue consider turn citizen.', length=3.0700000000000003, rating=39.48924022895828
film_id=201, genre='comedy', director_name='John Norris', title='House production little interesting evening to.', length=2.6100000000000003, rating=66.45048789758621
film_id=202, genre='scifi', director_name='Nancy Scott', title='Because stage table never.', length=2.87, rating=59.0335752434718
film_id=203, genre='comedy', director_name='Leslie Fisher', title='Drive where tell language he record medical may.', length=1.71, rating=39.99686651913151
film_id=204, genre='romance', director_name='Jason Shaw', title='Everyone week live son more hope concern expert.', length=2.31, rating=60.86017951237217
film_id=205, genre='romance', director_name='Jonathan Contreras', title='Child door top special quite.', length=0.44, rating=60.303720125467784
film_id=206, genre='scifi', director_name='Beverly Gardner', title='See model condition election nation simple economic.', length=0.39, rating=43.552346775671104
film_id=207, genre='romance', director_name='Alex Flores', title='Government western according after increase why mean.', length=1.3699999999999999, rating=54.26679596205649
film_id=208, genre='comedy', director_name='Scott Stewart', title='Coach line page dog let.', length=1.26, rating=39.59681171316448
film_id=209, genre='romance', director_name='Sheena Wilson', title='Suddenly peace else important.', length=3.0700000000000003, rating=55.62021761989652
film_id=210, genre='scifi', director_name='Jeremiah Olson', title='Material site own few tend majority ahead.', length=2.29, rating=53.78266372782001
film_id=211, genre='romance', director_name='Natalie Wright', title='Nearly will west size yes.', length=2.64, rating=32.5981341454346
film_id=212, genre='scifi', director_name='Timothy Lopez', title='Become capital all whatever among I.', length=1.15, rating=57.07960885694982
film_id=213, genre='documentary', director_name='Samantha Wiley', title='Police international to simple effect either surface.', length=0.61, rating=40.13349225439361
film_id=214, genre='documentary', director_name='Mark Williams', title='Speak training own consider him human make.', length=3.0700000000000003, rating=56.79914714369049
film_id=215, genre='scifi', director_name='Margaret Craig', title='Place another project miss.', length=2.62, rating=58.974339003763106
film_id=216, genre='comedy', director_name='Derek Banks', title='Magazine owner current yeah whose.', length=1.7, rating=50.12806327263718
film_id=217, genre='comedy', director_name='Michael Jones', title='Must read international billion south reason.', length=0.6000000000000001, rating=74.91257310528917
film_id=218, genre='documentary', director_name='Kelly Davis', title='Successful once cold like goal include.', length=1.88, rating=55.22862167602795
film_id=219, genre='documentary', director_name='Darren Wong', title='Nothing stay arrive method stock cup his.', length=2.06, rating=46.43878653376332
film_id=220, genre='comedy', director_name='Frank Peterson', title='Third form culture speak consumer happen.', length=1.98, rating=42.43087260493624
film_id=221, genre='documentary', director_name='Matthew Mcbride', title='Personal control same main.', length=1.73, rating=47.840633651371505
film_id=222, genre='romance', director_name='Kelly Adams', title='Hundred study place see citizen list finish contain.', length=1.88, rating=49.87674938122124
film_id=223, genre='scifi', director_name='Michael Horton', title='Evidence radio have ago deep.', length=2.52, rating=55.3784550397698
film_id=224, genre='documentary', director_name='Kathryn Walker', title='Apply and pretty bank foot.', length=2.68, rating=45.56580746374355
film_id=225, genre='romance', director_name='Stephanie Vincent', title='Summer my number knowledge third interest.', length=3.1500000000000004, rating=60.207478761815295
film_id=226, genre='scifi', director_name='Russell Johnson', title='Discover ok guess watch high.', length=2.7800000000000002, rating=43.43061428087001
film_id=227, genre='scifi', director_name='Sean Sullivan', title='Dog leave according decision.', length=0.38, rating=47.0653692734913
film_id=228, genre='romance', director_name='Steven Sherman', title='Garden gun positive.', length=3.16, rating=55.0673513253465
film_id=229, genre='romance', director_name='James Garcia', title='Accept word stock outside foot.', length=1.66, rating=53.224511512164334
film_id=230, genre='documentary', director_name='Andrew Bell', title='Necessary let population bar.', length=0.54, rating=44.66174260362189
film_id=231, genre='romance', director_name='David Collins', title='Coach society place own this the clearly should.', length=0.36, rating=60.21264018612145
film_id=232, genre='scifi', director_name='Tracy Patel', title='Everybody head economic before smile building.', length=1.78, rating=48.810539426312005
film_id=233, genre='romance', director_name='Rebecca Dillon', title='Form size draw while.', length=2.3000000000000003, rating=56.78579317347302
film_id=234, genre='comedy', director_name='Valerie Jacobs', title='It later manager learn American every themselves.', length=2.4000000000000004, rating=37.726724996466224
film_id=235, genre='scifi', director_name='Kimberly Gibson', title='Field place show visit.', length=2.35, rating=54.69604862224151
film_id=236, genre='comedy', director_name='Matthew Hill', title='Today sell civil spend onto.', length=2.79, rating=41.76306260491758
film_id=237, genre='comedy', director_name='Barry Krueger', title='Station among family think position.', length=1.76, rating=45.89974007796567
film_id=238, genre='romance', director_name='Amy Cabrera', title='Enter physical memory.', length=1.21, rating=65.23574269534004
film_id=239, genre='scifi', director_name='Rebecca Turner', title='Sit particular indeed to professor good.', length=2.79, rating=52.98670411422725
film_id=240, genre='documentary', director_name='Maria Burton', title='Once right civil under material building.', length=1.8299999999999998, rating=69.21002881820702
film_id=241, genre='romance', director_name='Alexander Thompson', title='Into special forward interest itself.', length=2.95, rating=49.991082620350866
film_id=242, genre='romance', director_name='April Larson', title='Goal expect film draw visit science.', length=1.74, rating=56.746723236014624
film_id=243, genre='documentary', director_name='Angel Best', title='Yeah country gas western world throughout weight.', length=1.71, rating=48.7665498786294
